Product Name,Brand,Category Type,MRP (Maximum Retail Price),Discounted Price / Sale Price,Rating,Number of Reviews,Product URL
Women Layered Black Knee Length Dress,Deris,Unknown,1299,258,4.2,235,https://www.flipkart.com/neha-fashions-women-layered-black-mini-short-dress/p/itmad6e5ed08e06f
Women Fit and Flare Red Midi/Calf Length Dress,Stylish Arrow,Midi,999,357,0,0,https://www.flipkart.com/stylish-arrow-women-fit-flare-red-midi-calf-length-dress/p/itm2a2631a26ff9e
Women Gown Maroon Midi/Calf Length Dress,Rangrail,Midi,2499,369,3.6,12,https://www.flipkart.com/rangrail-women-gown-maroon-midi-calf-length-dress/p/itm56f75dea6a168
Women Fit and Flare Blue Midi/Calf Length Dress,Fashion wear,Midi,999,460,3.9,357,https://www.flipkart.com/fashion2wear-women-fit-flare-blue-midi-calf-length-dress/p/itm9bdc1a8b51bfb
Women A-line Gold Midi/Calf Length Dress,Zwerlon,Midi,1999,414,4.1,5344,https://www.flipkart.com/zwerlon-women-a-line-gold-midi-calf-length-dress/p/itmc60cfda254705
Women Fit and Flare White Midi/Calf Length Dress,Aayu,Midi,1999,498,4.2,2801,https://www.flipkart.com/aayu-women-fit-flare-white-midi-calf-length-dress/p/itm19bb55e2d03e9
"Women Fit and Flare Black, White Midi/Calf Length Dress",Sheetal,Midi,1999,351,4.3,2686,https://www.flipkart.com/sheetal-associates-women-fit-flare-black-white-midi-calf-length-dress/p/itm98307287501da
Women A-line Purple Midi/Calf Length Dress,Zwerlon,Midi,1999,414,4.1,5344,https://www.flipkart.com/zwerlon-women-a-line-purple-midi-calf-length-dress/p/itm781e9df202f0b
Women Gown Dark Blue Midi/Calf Length Dress,Rangrail,Midi,2499,364,3.6,12,https://www.flipkart.com/rangrail-women-gown-dark-blue-midi-calf-length-dress/p/itm3acbc8e33af01
Women Bodycon Purple Midi/Calf Length Dress,Road Rider,Midi,1699,419,0,0,https://www.flipkart.com/attire-empire-women-bodycon-maroon-midi-calf-length-dress/p/itmdbefe550b2c80
Women Fit and Flare White Maxi/Full Length Dress,Dream Tree,Maxi,2499,713,4.3,437,https://www.flipkart.com/dream-tree-women-fit-flare-white-maxi-full-length-dress/p/itm36a50f67d2243
Women A-line Red Midi/Calf Length Dress,Zwerlon,Midi,1999,414,4.1,5344,https://www.flipkart.com/zwerlon-women-a-line-red-midi-calf-length-dress/p/itm3b321e18f548a
"Women A-line Pink, White Midi/Calf Length Dress",Zwerlon,Midi,1999,400,4.1,5344,https://www.flipkart.com/zwerlon-women-a-line-pink-white-midi-calf-length-dress/p/itmfc76f8ea295da
Women Bodycon Maroon Midi/Calf Length Dress,London Belly,Midi,1299,392,4.2,880,https://www.flipkart.com/london-belly-women-bodycon-maroon-midi-calf-length-dress/p/itm1c6d6054cb3e8
Women A-line Red Above Knee/Mid Thigh Length Dress,Sheetal,A-line,1349,395,4.1,0,https://www.flipkart.com/sheetal-associates-women-a-line-red-above-knee-mid-thigh-length-dress/p/itma65248ce7938e
Women Fit and Flare Pink Above Knee/Mid Thigh Length Dress,Tandul,Fit and Flare,1499,489,4.1,345,https://www.flipkart.com/tandul-women-fit-flare-pink-above-knee-mid-thigh-length-dress/p/itm0a675414f91ef
Women Fit and Flare Multicolor Below Knee Dress,Luxestyle,Fit and Flare,1299,292,3.7,15,https://www.flipkart.com/buyuniquefashion-women-fit-flare-maroon-below-knee-dress/p/itm79be791b1a65b
Women Bodycon Black Midi/Calf Length Dress,London Belly,Midi,1299,392,4.2,880,https://www.flipkart.com/london-belly-women-bodycon-black-midi-calf-length-dress/p/itm74da4ba7b8f27
Women Fit and Flare Black Midi/Calf Length Dress,Sheetal,Midi,1999,351,4.2,642,https://www.flipkart.com/honky-tonky-women-fit-flare-black-midi-calf-length-dress/p/itm532a76ddf3898
"Women A-line Dark Green, White Midi/Calf Length Dress",Zwerlon,Midi,1999,414,4.1,5344,https://www.flipkart.com/zwerlon-women-a-line-dark-green-white-midi-calf-length-dress/p/itme99650984ee0c
Women A-line Blue Midi/Calf Length Dress,Tiara World,Midi,1999,410,3.9,274,https://www.flipkart.com/tiara-world-women-a-line-blue-midi-calf-length-dress/p/itmabeb7df3b4914
Women Maxi Pink Full Length Dress,Sheetal,Maxi,1349,459,4.3,556,https://www.flipkart.com/honky-tonky-women-maxi-pink-full-length-dress/p/itm5065a560e0dea
Women Bodycon Pink Midi/Calf Length Dress,Attire Empire,Midi,299,297,4.1,14,https://www.flipkart.com/attire-empire-women-bodycon-pink-midi-calf-length-dress/p/itm9279b2e16b715
Women Fit and Flare Purple Maxi/Full Length Dress,Crown,Maxi,1299,309,2.8,2,https://www.flipkart.com/honky-tonky-women-fit-flare-purple-midi-calf-length-dress/p/itm3cad2d9e78fdf
Women Maxi Pink Midi/Calf Length Dress,Honky Tonky,Maxi,1999,350,4.1,909,https://www.flipkart.com/honky-tonky-women-maxi-pink-midi-calf-length-dress/p/itm9beae302c7f77
